record_type,draw,metric,value,real_value,null_90th_percentile,real_percentile_under_null
draw,71,direction_M3_minus_M2_brier_improvement,-0.00694570154147,-0.00236751462572,,
draw,72,movement_M2_minus_M1_brier_improvement,-0.000724056406154,-0.000980693941384,,
draw,72,movement_M3_minus_M2_brier_improvement,-0.000398950710652,-0.000781293526861,,
draw,72,direction_M2_minus_M1_brier_improvement,-0.002773888864,9.30998956193e-05,,
draw,72,direction_M3_minus_M2_brier_improvement,-0.00350720417878,-0.00236751462572,,
draw,73,movement_M2_minus_M1_brier_improvement,-9.18246233976e-05,-0.000980693941384,,
draw,73,movement_M3_minus_M2_brier_improvement,-0.00040305777116,-0.000781293526861,,
draw,73,direction_M2_minus_M1_brier_improvement,-0.00426467372095,9.30998956193e-05,,
draw,73,direction_M3_minus_M2_brier_improvement,-0.00454594522449,-0.00236751462572,,
draw,74,movement_M2_minus_M1_brier_improvement,-0.000580877174586,-0.000980693941384,,
draw,74,movement_M3_minus_M2_brier_improvement,-0.000125765850839,-0.000781293526861,,
draw,74,direction_M2_minus_M1_brier_improvement,-0.0030630551534,9.30998956193e-05,,
draw,74,direction_M3_minus_M2_brier_improvement,-0.0071578824286,-0.00236751462572,,
draw,75,movement_M2_minus_M1_brier_improvement,-0.000374790853406,-0.000980693941384,,
draw,75,movement_M3_minus_M2_brier_improvement,0.000206089415364,-0.000781293526861,,
draw,75,direction_M2_minus_M1_brier_improvement,-0.00605382713668,9.30998956193e-05,,
draw,75,direction_M3_minus_M2_brier_improvement,-0.0021919013049,-0.00236751462572,,
draw,76,movement_M2_minus_M1_brier_improvement,-0.00101382674904,-0.000980693941384,,
draw,76,movement_M3_minus_M2_brier_improvement,-0.000163266685845,-0.000781293526861,,
draw,76,direction_M2_minus_M1_brier_improvement,-0.00765782448585,9.30998956193e-05,,
draw,76,direction_M3_minus_M2_brier_improvement,-0.00634450393289,-0.00236751462572,,
draw,77,movement_M2_minus_M1_brier_improvement,-0.000603621275368,-0.000980693941384,,
draw,77,movement_M3_minus_M2_brier_improvement,-0.000838783651174,-0.000781293526861,,
