record_type,draw,comparison,metric,real_value,null_value,null_q90,real_percentile,draws,activity_bundle_sha256
draw,30,D2_minus_D1,brier,-0.0231968307288,-0.00630227495637,,,50,995910f62d49f7fb25420553c628c7563e9a76af808efb11ee62351f3c7a4c2f
draw,31,D2_minus_D1,brier,-0.0231968307288,-0.0190235787501,,,50,019eb27a9ca1ad79bd8441017203e176592640691194f77e69de620a440223e5
draw,32,D2_minus_D1,brier,-0.0231968307288,-0.00602347653693,,,50,b1514d3a6936d8163e3e71c0bc4b611adeea1bf5c90b9937705d7ba7b5824a54
draw,33,D2_minus_D1,brier,-0.0231968307288,-0.00610403644841,,,50,172f2a97c8d659bd2c60fc8f5fcc7ca46a9f9d029c567516bd30bcd335313979
draw,34,D2_minus_D1,brier,-0.0231968307288,0.00323191686577,,,50,778900b667cee982f3f9ca36a830ce2fab2af7c006e04a1e092010630856dadd
draw,35,D2_minus_D1,brier,-0.0231968307288,-0.0116097391105,,,50,9b53fda4ae23c37b79222aff64532f78c2ef444d43e4a72c2c62fe9759daed6f
draw,36,D2_minus_D1,brier,-0.0231968307288,-0.00354864390248,,,50,bebea73de867d68237f555d8a874470104a71a165cb67b483d9f1edfaf87d869
draw,37,D2_minus_D1,brier,-0.0231968307288,-0.0122865800212,,,50,b8b782662cbddd6a221350abab4680e9634ef0826042badab4785227133c2d32
draw,38,D2_minus_D1,brier,-0.0231968307288,-0.026834797696,,,50,53b403afba41e33e67c85a0b2805e512b7f0af9282e20d4dd379f18832feec93
draw,39,D2_minus_D1,brier,-0.0231968307288,-0.0189173351965,,,50,a6d57eeb55be9153ef35c9a41b181d90bed2991dc29fa44e33fcab06f1fa9c3b
draw,40,D2_minus_D1,brier,-0.0231968307288,-0.00868282031437,,,50,fc75a225e87ec9b9f432769dbc55f56432a616bd4827768e442695c7bca57efc
draw,41,D2_minus_D1,brier,-0.0231968307288,-0.0270000697314,,,50,1aaba12dde7c32b150eb4a536c428b93c0151f440019fb1c0cc2033ff19331dd
draw,42,D2_minus_D1,brier,-0.0231968307288,-0.00550689661512,,,50,d0bad1a21216e9a7c03c87f2633caa051fc2c2f3ac6cafea089d5f25acf8d274
draw,43,D2_minus_D1,brier,-0.0231968307288,0.0019326738317,,,50,a79057aa06eba761f4e84608521686e8cbd36965ee53cd0f833e13bf36ffa371
draw,44,D2_minus_D1,brier,-0.0231968307288,-0.0207263539141,,,50,8195e65affa43e39851cab5c95de4a83500cabb658ed1ecae95d7e387ce6038f
draw,45,D2_minus_D1,brier,-0.0231968307288,-0.00610382189781,,,50,3e1b15ee220d093dddf4e96c0259e8c2a2cce8602824ac8ec4d5de284795302f
draw,46,D2_minus_D1,brier,-0.0231968307288,-0.0209580916419,,,50,8ef441ed723d451db5da25ab98491c4cad4117a100d27cc72f5433c9f7f398e6
draw,47,D2_minus_D1,brier,-0.0231968307288,0.000276854236131,,,50,198fb6be848db87530b27373b902c531b0b7db7031eb699841e0aed8f7a9728f
draw,48,D2_minus_D1,brier,-0.0231968307288,0.00236429514866,,,50,9d922e8d9df99aa4a9a0693c9eca2221ce0ee4c9f41a5adee10d03ff7bbb1b5b
draw,49,D2_minus_D1,brier,-0.0231968307288,-0.0104769966374,,,50,d8dd622605e027b7842be97b2cc5cc75292bc97fe6afd6bf93a0bc10c3a815d0
