candidate,scope_type,scope_value,horizon,friction_bps,mean_signed_return_bps,mean_cohort_relative_signed_return_bps,positive_selection_pct,rows
activity_system,month,2025-06,30_minute_terminal,20,-90.6422616752,-88.3101526316,0.375,40
highest_one_minute_relative_momentum,month,2025-06,15_minute_terminal,0,-43.3345869324,-29.9373558587,0.45,40
highest_one_minute_relative_momentum,month,2025-06,15_minute_terminal,10,-53.3345869324,-39.9373558587,0.45,40
highest_one_minute_relative_momentum,month,2025-06,15_minute_terminal,20,-63.3345869324,-49.9373558587,0.425,40
highest_one_minute_relative_momentum,month,2025-06,30_minute_terminal,0,-19.1739173207,-5.41544776267,0.525,40
highest_one_minute_relative_momentum,month,2025-06,30_minute_terminal,10,-29.1739173207,-15.4154477627,0.525,40
highest_one_minute_relative_momentum,month,2025-06,30_minute_terminal,20,-39.1739173207,-25.4154477627,0.5,40
interaction_system,month,2025-06,15_minute_terminal,0,21.4920363117,20.8756772198,0.525,40
interaction_system,month,2025-06,15_minute_terminal,10,11.4920363117,10.8756772198,0.5,40
interaction_system,month,2025-06,15_minute_terminal,20,1.49203631171,0.875677219837,0.5,40
interaction_system,month,2025-06,30_minute_terminal,0,-45.4500295199,-46.3393526838,0.425,40
interaction_system,month,2025-06,30_minute_terminal,10,-55.4500295199,-56.3393526838,0.4,40
interaction_system,month,2025-06,30_minute_terminal,20,-65.4500295199,-66.3393526838,0.4,40
price_system,month,2025-06,15_minute_terminal,0,97.7609369975,100.061521771,0.575,40
price_system,month,2025-06,15_minute_terminal,10,87.7609369975,90.0615217706,0.525,40
